event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-08 08:14:53 UTC,view,1004259,2053013555631882655,electronics.smartphone,apple,776.74,568847318,3fca063b-dbd6-4306-8c8f-be86cc369d6d
2019-11-08 08:15:32 UTC,view,16000290,2053013558223962683,"",tefal,22.14,547707147,57b0fa7e-fcf0-4a22-b537-07c59fdfeaa2
2019-11-08 08:17:27 UTC,view,16000976,2053013558223962683,"",pyrex,9.76,552474342,380c380b-22c5-40e8-8d0e-daf409032477
2019-11-08 08:19:50 UTC,view,17300768,2053013553853497655,"","",56.61,563883687,e6a954a2-3cb6-47fc-89c5-77eb09016c8e
2019-11-08 08:21:58 UTC,view,4501335,2053013563877884791,appliances.kitchen.hob,bosch,334.37,568857333,f7c46092-13bd-418b-bc94-7e41bb5e660d
2019-11-08 08:22:54 UTC,view,1004781,2053013555631882655,electronics.smartphone,huawei,266.41,529486939,5fb73193-df3a-445f-825d-bfc6dfa1303f
2019-11-08 08:27:23 UTC,cart,1004833,2053013555631882655,electronics.smartphone,samsung,169.92,568849660,420ceed0-22c5-433c-80ad-3e0517afeb3b
2019-11-08 08:28:01 UTC,view,1004249,2053013555631882655,electronics.smartphone,apple,739.79,539376156,1146b142-db8b-4d04-95b4-89b3ed91858f
2019-11-08 08:31:25 UTC,view,1004209,2053013555631882655,electronics.smartphone,samsung,88.29,518449846,4d84913b-b11c-43d0-b1d2-8481d70510e0
2019-11-08 08:33:18 UTC,cart,1500021,2053013552955916539,computers.peripherals.printer,epson,116.84,513658295,27225917-17fc-4f1b-8758-48c486b68603
2019-11-08 08:37:22 UTC,view,2800433,2053013563835941749,appliances.kitchen.refrigerators,haier,283.12,531329238,3b0bbccc-aa44-44ca-bd54-eb858fea01b5
2019-11-08 08:43:51 UTC,view,17800248,2053013559868129947,computers.desktop,zeta,118.01,519397342,1376a51c-bfa8-43d0-bd6b-835af23dd3db
2019-11-08 08:44:14 UTC,view,28900013,2053013560413389501,"",fujifilm,115.81,512830450,6870d110-503b-41d5-ac7d-3a9eee3a284c
2019-11-08 08:52:35 UTC,purchase,1005115,2053013555631882655,electronics.smartphone,apple,915.08,568047770,570bec81-df78-45e2-9966-d7cf90125b29
2019-11-08 08:53:03 UTC,view,15100337,2053013557024391671,"","",282.89,516764041,119fcd1a-f007-40d2-94e5-555bb39bec34
2019-11-08 08:53:41 UTC,view,6800714,2053013554222596431,computers.components.hdd,kingston,141.32,515344879,ec097094-a48b-4c26-a31f-160fcd62498e
2019-11-08 08:55:17 UTC,view,1005031,2053013555631882655,electronics.smartphone,xiaomi,177.34,512866456,590e643f-24e5-42f2-89bc-4832f4c70af2
2019-11-08 08:56:46 UTC,view,1002544,2053013555631882655,electronics.smartphone,apple,494.22,568213019,3b7a93cb-1c05-4ec3-8dd1-e717e21d93be
2019-11-08 08:59:00 UTC,view,4700636,2053013560899928785,auto.accessories.videoregister,neoline,88.70,514190843,4cdd036b-f9b2-4dd8-bc53-bd5e213d3e82
2019-11-08 09:02:22 UTC,view,11500338,2053013554625249641,"",jbl,86.14,514483636,408283b0-202d-4adc-847e-bab513272d96
2019-11-08 09:02:23 UTC,view,1307135,2053013558920217191,computers.notebook,hp,262.30,568858660,7d0b59c8-5841-4d38-b9e6-f77f9c152587
2019-11-08 09:02:33 UTC,view,1004873,2053013555631882655,electronics.smartphone,samsung,359.79,559392792,0f22ffa6-090a-4de4-a519-9410fa80d2a5
2019-11-08 09:05:29 UTC,view,1004767,2053013555631882655,electronics.smartphone,samsung,240.38,526573919,bb3678df-2e4e-4555-a1a0-e421113d1e46
2019-11-08 09:06:00 UTC,view,1307073,2053013558920217191,computers.notebook,acer,694.97,546438803,1dc85dbb-6501-44dc-942b-4c512c7e246e
